"","c100_4","c100_4_pooled","c100_4_pooled_supp","c150_4","c150_4_pooled_supp","c150_4_aian","c150_4_aianold","c150_4_asian","c150_4_api","c150_4_black","c150_4_blacknh","c150_4_hisp","c150_4_hispold","c150_4_nhpi","c150_4_nra","c150_4_2mor","c150_4_unkn","c150_4_white","c150_4_whitenh","c150_4_pooled","c200_4_pooled_supp","c100_l4","c100_l4_pooled","c100_l4_pooled_supp","c150_l4","c150_l4_pooled_supp","c150_l4_aian","c150_l4_aianold","c150_l4_asian","c150_l4_api","c150_l4_blacknh","c150_l4_black","c150_l4_hisp","c150_l4_hispold","c150_l4_nhpi","c150_l4_nra","c150_l4_2mor","c150_l4_unkn","c150_l4_whitenh","c150_l4_white","c150_l4_pooled","c200_l4","c200_l4_pooled","c200_l4_pooled_supp","c150_4_loannopell","c150_l4_loannopell","c150_4_pell","c150_l4_pell","c150_4_noloannopell","c150_l4_noloannopell","year"
"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3708,0.3708,1,0.4382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4382,1,0.5556,0.5556,NA,NA,NA,NA,NA,1,"latest"
"186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1778,0.1912,0.1912,0.7556,0.7647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7647,0.7826,0.8,0.8,NA,0,NA,0.7907,NA,NA,"latest"
"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6797,0.6797,0.6797,0.6797,0.6797,NA,NA,0.8,NA,NA,0.7273,0.8182,NA,1,NA,1,0,NA,0.6518,0.6797,NA,NA,NA,NA,0.2174,NA,0.7632,NA,0.75,"latest"
"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6857,0.6667,0.6667,0.6857,0.6667,NA,NA,NA,NA,NA,NA,0.6667,NA,NA,NA,0.75,1,NA,NA,0.6667,0.6087,0.5921,0.5921,NA,0.7857,NA,0.6383,NA,0.7778,"latest"
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3232,0.3232,NA,NA,NA,NA,NA,NA,"latest"
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292,0.2068,0.2068,0.4469,0.4529,0,NA,1,NA,NA,0.3857,0.4426,NA,0,NA,0.3333,0.5532,NA,0.4865,0.4529,0.4615,0.477,0.477,NA,0.4545,NA,0.4476,NA,0.4,"latest"
"194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9737,0.8721,0.8721,0.9737,0.8721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8721,0.7917,0.7917,0.7917,NA,1,NA,0.9722,NA,NA,"latest"
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9091,0.9091,NA,0.9091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9091,NA,NA,NA,NA,NA,NA,NA,NA,0.9091,"latest"
"201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.1111,0.1111,0.8,0.8333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8333,0.875,0.8648,0.8648,NA,0.5,NA,1,NA,0,"latest"
"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386,0.3402,0.3402,0.6018,0.5977,1,NA,1,NA,NA,0.5867,0.5962,NA,1,NA,0.3333,0.8333,NA,0.5714,0.5977,0.5943,0.5909,0.5909,NA,0.4,NA,0.6088,NA,0.4286,"latest"
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4249,0.3206,0.3206,0.6309,0.6301,0,NA,0.5,NA,NA,0.6281,0.6667,NA,1,NA,0.6667,0.6875,NA,0.4,0.6301,0.6364,0.604,0.604,NA,0.7143,NA,0.6273,NA,0.6667,"latest"
"209",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"latest"
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8235,0.7273,0.7273,0.8235,0.7273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7273,1,0.8182,0.8182,NA,1,NA,1,NA,0,"latest"
"213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7761,0.659,0.659,0.8507,0.8208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8208,0.8684,0.8734,0.8734,NA,NA,NA,0.8462,NA,1,"latest"
"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4966,0.3241,0.3241,0.6993,0.7673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7673,0.8463,0.7973,0.7973,NA,0.8182,NA,0.9523,NA,0.1098,"latest"
"215",0,0.25,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"latest"
"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3659,0.3378,0.3378,0.7439,0.7644,0,NA,NA,NA,NA,0.5,0.8103,NA,NA,NA,1,NA,NA,0.625,0.7644,0.7902,0.7698,0.7698,NA,NA,NA,0.9444,NA,0.3571,"latest"
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.625,0.641,0.641,0.625,0.641,NA,NA,1,NA,NA,1,0.3333,NA,NA,NA,NA,1,NA,0.5,0.641,0.6522,0.6981,0.6981,NA,1,NA,0.5714,NA,1,"latest"
"219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5833,0.4667,0.4667,0.75,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1,0.82,0.82,NA,NA,NA,0.6667,NA,1,"latest"
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9707,0.9521,0.9521,0.9833,0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.976,0.9434,0.9732,0.9732,NA,1,NA,0.9688,NA,NA,"latest"
"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6875,0.6549,0.6549,0.6875,0.6549,NA,NA,NA,NA,NA,0.4444,0.74,NA,NA,NA,0,NA,NA,0.75,0.6549,0.6282,0.617,0.617,NA,0.5,NA,0.6935,NA,NA,"latest"
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8571,0.875,0.875,0.8571,0.875,NA,NA,NA,NA,NA,0.5,1,NA,NA,NA,NA,NA,NA,0.9,0.875,0.8889,0.7755,0.7755,NA,1,NA,0.8182,NA,1,"latest"
"224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3846,0.5877,0.5877,0.7212,0.7412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7412,0.7581,0.7714,0.7714,NA,0.4412,NA,0.8571,NA,NA,"latest"
"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6875,0.3243,0.3243,0.8125,0.7297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7297,0.7143,0.3729,0.3729,NA,0.5,NA,0.8571,NA,NA,"latest"
"226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7907,0.7907,0.7907,0.7907,0.7907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7907,NA,0.7429,0.7429,NA,NA,NA,0.7778,NA,0.8125,"latest"
"227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2807,0.2807,0.6667,0.3509,NA,NA,0.6667,NA,NA,NA,0.5,NA,NA,0.5714,NA,NA,NA,1,0.3509,0.3095,0.383,0.383,NA,0,NA,0,NA,1,"latest"
"228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1374,0.4858,0.4858,0.9733,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.926,0.8792,0.8785,0.8785,NA,NA,NA,1,NA,0.8444,"latest"
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2817,0.3368,0.3368,0.493,0.5333,0.5,NA,0.6667,NA,NA,0.3191,0.6452,NA,NA,NA,0.5,NA,NA,0.5472,0.5333,0.5734,0.5587,0.5587,NA,0.5714,NA,0.5,NA,0.2857,"latest"
"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5246,0.5246,0.5238,0.5574,NA,NA,NA,NA,NA,0,0.4,NA,NA,NA,NA,0.5625,NA,0.55,0.5574,0.6316,0.6136,0.6136,NA,NA,NA,0.6471,NA,0,"latest"
"231",NA,NA,NA,0.6923,0.6923,NA,NA,1,NA,0.75,NA,0.4,NA,1,NA,1,0.8333,0.6957,NA,0.6923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.7465,NA,0,NA,"latest"
"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4133,0.4133,0.8571,0.5733,NA,NA,NA,NA,NA,NA,0.8571,NA,NA,NA,NA,NA,NA,NA,0.5733,0.5082,0.5435,0.5435,NA,NA,NA,0.8571,NA,NA,"latest"
"238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4595,0.5366,0.5366,0.7568,0.7317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7317,0.7111,0.7547,0.7547,NA,NA,NA,0.7353,NA,1,"latest"
"239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0857,0.0794,0.0794,0.4571,0.4286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4286,0.3929,0.325,0.325,NA,NA,NA,0.4286,NA,0.4643,"latest"
"241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4176,0.3077,0.3077,0.6374,0.6419,0.5379,NA,0.5813,NA,NA,0.6227,0.5825,NA,0.6667,0,0.5765,0.6768,NA,0.6746,0.6419,0.6648,0.6776,0.6776,NA,NA,NA,0.7073,NA,0.0361,"latest"
"242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4762,0.4051,0.4051,0.5159,0.5148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5148,0.5135,0.5177,0.5177,NA,0.4,NA,0.5172,NA,0.6,"latest"
"243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5769,0.4255,0.4255,0.9615,0.9575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9575,0.9524,0.9574,0.9574,NA,1,NA,1,NA,0.3333,"latest"
"245",0.0994,0.1138,0.1138,0.1864,0.2145,0.5,NA,0.0769,NA,0.0714,NA,0.0833,NA,0.25,0.1538,0.1321,0.1727,0.2278,NA,0.2145,0.3009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,NA,0.1384,NA,0.2081,NA,"latest"
"246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6964,0.7008,0.7008,0.6964,0.7008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7008,0.7049,0.7705,0.7705,NA,NA,NA,0.56,NA,0.8065,"latest"
"247",1,0.3171,0.3171,1,0.561,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,0.561,0.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"latest"
"248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5013,0.5766,0.5766,0.752,0.869,1,NA,0.8333,NA,NA,0.7174,0.7708,NA,1,NA,NA,0,NA,0.7412,0.869,1,0.8574,0.8574,NA,NA,NA,1,NA,0.4831,"latest"
"249",0.3556,0.2952,0.2952,0.6222,0.5334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0,0.6667,NA,0.5334,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,0.4815,NA,0.8571,NA,"latest"
"250",0.1579,0.2105,0.2105,0.2368,0.2561,0,NA,1,NA,0.2222,NA,0.4,NA,NA,NA,NA,0,0.1667,NA,0.2561,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0.2692,NA,0.1429,NA,"latest"
"251",0.6269,0.6291,0.6291,0.6799,0.6874,0.5,NA,0.6667,NA,0.5882,NA,0.5778,NA,0,0.6667,0.6111,1,0.6995,NA,0.6874,0.6613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6879,NA,0.567,NA,0.7171,NA,"latest"
"252",NA,NA,NA,0.3195,0.3345,0.125,NA,0.3478,NA,0.2698,NA,0.3265,NA,0.6,0.4,0.2813,0.2222,0.3333,NA,0.3345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3169,NA,0.302,NA,0.3531,NA,"latest"
"253",NA,NA,NA,0.378,0.3628,0.0909,NA,0.541,NA,0.2763,NA,0.3907,NA,0,0.125,0.3455,0.4304,0.4153,NA,0.3628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4444,NA,0.3108,NA,0.448,NA,"latest"
"254",0.1403,0.1339,0.1339,0.3408,0.3531,NA,NA,0.5,NA,0.3413,NA,0.2222,NA,NA,0,0,0.4483,0.3333,NA,0.3531,0.3411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3222,NA,0.3338,NA,0.4894,NA,"latest"
"255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"256",0.0755,0.0707,0.0707,0.2182,0.2416,0,NA,1,NA,0.125,NA,0.2361,NA,NA,NA,1,0,0.2182,NA,0.2416,0.2533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909,NA,0.2385,NA,0.2308,NA,"latest"
"257",NA,NA,NA,0.381,0.3283,1,NA,NA,NA,0.25,NA,1,NA,NA,NA,NA,NA,0.3636,NA,0.3283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,"latest"
"258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"259",0.678,0.6629,0.6629,0.597,0.6047,1,NA,0,NA,0.7,NA,0.5906,NA,NA,NA,NA,NA,1,NA,0.6047,0.6191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.6531,NA,0,NA,"latest"
"260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.2292,0.2292,0.25,0.2708,0,NA,NA,NA,NA,0.25,0.25,NA,NA,NA,NA,NA,NA,0.3333,0.2708,0.2857,0.2075,0.2075,NA,NA,NA,0.2941,NA,0,"latest"
"261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,"latest"
"262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6384,0.5802,0.5802,0.6384,0.6327,NA,NA,0.875,NA,NA,0.4151,0.7638,NA,1,NA,0.6,NA,NA,0.5825,0.6327,0.6278,0.6494,0.6494,NA,0.4684,NA,0.8188,NA,NA,"latest"
"263",NA,NA,NA,0.3662,0.3688,0,NA,0.5,NA,0.2254,NA,0.3304,NA,NA,0.6333,NA,0.3516,0.3886,NA,0.3688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371,NA,0.3125,NA,0.4672,NA,"latest"
