"","c100_4","c100_4_pooled","c100_4_pooled_supp","c150_4","c150_4_pooled_supp","c150_4_aian","c150_4_aianold","c150_4_asian","c150_4_api","c150_4_black","c150_4_blacknh","c150_4_hisp","c150_4_hispold","c150_4_nhpi","c150_4_nra","c150_4_2mor","c150_4_unkn","c150_4_white","c150_4_whitenh","c150_4_pooled","c200_4_pooled_supp","c100_l4","c100_l4_pooled","c100_l4_pooled_supp","c150_l4","c150_l4_pooled_supp","c150_l4_aian","c150_l4_aianold","c150_l4_asian","c150_l4_api","c150_l4_blacknh","c150_l4_black","c150_l4_hisp","c150_l4_hispold","c150_l4_nhpi","c150_l4_nra","c150_l4_2mor","c150_l4_unkn","c150_l4_whitenh","c150_l4_white","c150_l4_pooled","c200_l4","c200_l4_pooled","c200_l4_pooled_supp","c150_4_loannopell","c150_l4_loannopell","c150_4_pell","c150_l4_pell","c150_4_noloannopell","c150_l4_noloannopell","year"
"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4868,0.4837,0.4837,0.6278,0.6384,1,NA,0.6667,NA,NA,0.504,0.5953,NA,0.8333,1,0.6842,1,NA,0.6582,0.6384,0.6688,0.6742,0.6742,NA,0.7163,NA,0.6439,NA,0.4435,"latest"
"144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0091,0.0176,0.0176,0.9909,0.9471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9471,0.8667,0.7606,0.7606,NA,NA,NA,0.9909,NA,NA,"latest"
"145",0.4132,0.3681,0.3681,0.5553,0.5226,NA,NA,NA,NA,0.5032,NA,0.5273,NA,NA,0.7826,0.4444,0.5085,0.6491,NA,0.5226,0.3913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6442,NA,0.4983,NA,0.6463,NA,"latest"
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8452,0.815,0.815,0.902,0.8446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8446,0.7821,0.7932,0.7932,NA,NA,NA,0.9163,NA,0,"latest"
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3334,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8333,1,0.6964,0.6964,NA,NA,NA,NA,NA,1,"latest"
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8228,0.8241,0.8241,0.8228,0.8241,NA,NA,0,NA,NA,0.8,0.8409,NA,NA,NA,NA,1,NA,0.8,0.8241,0.7153,0.7211,0.7211,NA,0.7692,NA,0.8475,NA,0.7143,"latest"
"150",0.3293,0.3151,0.3151,0.5866,0.5794,0.75,NA,0.6275,NA,0.5294,NA,0.5355,NA,NA,0.3889,0.5488,NA,0.6017,NA,0.5794,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5351,NA,0.5486,NA,0.6221,NA,"latest"
"151",0.394,0.4012,0.4012,0.5025,0.5137,NA,NA,0.7377,NA,0.3469,NA,0.5119,NA,1,0.4783,0.2,0.6667,0.5152,NA,0.5137,0.4816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4369,NA,0.4263,NA,0.6082,NA,"latest"
"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9231,0.9216,0.9216,0.9231,0.9216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9216,0.92,0.8947,0.8947,NA,NA,NA,0.9231,NA,NA,"latest"
